1300 7
10 4 8 4 1 8 9 
0 2 4
16 19 3
6 9 2
6 9 4
20 23 1
9 12 7
20 1 7
0 4 6
5 7 7
11 15 5
8 10 6
16 17 7
23 4 4
7 11 1
6 8 6
11 14 4
12 14 3
2 5 3
0 4 1
21 23 4
15 18 2
5 9 1
22 2 1
22 1 6
2 4 7
15 19 2
14 17 7
11 16 4
0 4 7
14 17 5
15 16 4
0 4 5
23 3 7
19 21 2
0 2 7
22 2 3
1 4 4
0 4 7
2 5 5
14 18 7
20 22 3
20 0 7
7 10 5
1 2 7
6 10 4
3 7 5
18 21 4
14 17 3
12 15 5
19 23 3
18 20 3
3 7 4
7 9 3
2 5 6
19 22 3
3 5 1
7 11 1
19 0 7
23 1 5
13 17 1
14 17 7
15 17 5
7 8 2
13 16 6
11 13 3
19 23 1
19 23 2
10 13 3
14 16 7
8 10 2
23 3 2
20 0 1
15 18 6
3 6 4
3 5 3
8 11 1
13 18 6
9 13 5
19 23 5
2 5 3
23 1 5
3 5 7
4 6 3
5 7 2
9 12 4
2 5 7
17 19 7
5 7 4
12 16 7
16 19 2
11 14 2
8 11 2
12 14 5
0 2 4
19 21 6
4 7 1
12 15 2
8 11 5
14 18 3
15 17 5
4 8 1
3 6 7
2 5 2
21 1 5
11 13 5
2 5 1
3 5 2
8 13 1
10 13 6
13 15 1
19 21 5
23 2 3
8 9 2
17 18 1
3 4 7
11 16 6
15 18 6
7 10 5
18 22 4
2 6 3
0 3 6
11 12 3
12 15 2
19 23 3
7 10 7
6 7 4
2 6 4
3 4 5
8 12 6
5 8 4
23 0 1
11 13 7
15 18 5
9 12 2
9 12 7
10 11 1
23 1 6
15 17 4
9 13 4
16 18 3
1 3 4
22 0 2
14 17 1
11 16 6
0 4 1
17 21 2
16 19 2
7 11 4
2 5 5
15 19 7
5 9 1
3 6 1
2 3 2
0 5 5
20 23 7
2 6 7
22 2 2
22 2 7
12 14 6
7 9 5
17 21 5
6 10 7
5 8 6
1 4 3
12 15 7
16 19 7
22 0 3
4 7 3
14 17 3
5 7 4
9 13 7
16 20 3
4 8 4
8 11 1
23 3 5
13 16 1
19 21 1
23 2 4
22 1 5
4 8 3
0 4 4
3 6 4
2 4 6
3 4 6
19 21 5
19 21 2
22 0 3
4 7 4
21 0 3
13 16 7
7 10 4
14 16 7
21 0 3
22 2 3
2 5 3
21 22 3
13 17 2
1 3 5
12 16 7
19 22 7
6 11 1
19 23 7
3 7 7
17 18 2
6 9 2
23 4 2
5 8 7
19 22 3
16 19 7
21 0 4
23 4 3
1 2 3
11 16 7
5 10 1
7 11 5
10 15 2
7 11 7
22 2 6
15 18 4
19 21 4
15 19 6
17 20 5
5 8 3
11 14 1
18 20 2
2 5 4
6 7 4
18 22 1
2 7 1
7 11 6
22 1 7
0 3 4
1 4 6
9 12 3
17 20 6
21 0 6
16 17 3
23 1 7
18 22 3
7 9 6
14 15 5
11 14 3
20 23 2
7 9 6
7 10 3
1 3 3
21 0 5
1 3 5
2 5 6
12 16 1
19 22 2
15 17 4
19 22 2
20 0 5
13 16 2
15 20 1
22 0 6
14 17 2
22 2 7
2 3 3
8 12 6
4 7 4
23 1 5
15 17 4
22 1 7
12 14 5
13 16 4
23 2 6
1 4 5
11 16 1
15 17 7
14 17 5
20 22 5
20 23 2
6 8 1
4 8 7
20 22 4
17 19 6
20 0 6
7 9 4
23 3 4
3 6 5
15 20 1
15 16 2
10 14 4
21 0 1
16 19 7
4 6 3
20 23 4
10 13 1
8 11 6
9 13 2
