300 3
5 6 2 
13 18 3
0 3 2
10 13 3
23 0 3
22 2 3
17 20 3
17 19 3
2 5 2
20 0 2
8 11 1
17 21 2
0 2 2
6 9 2
10 15 1
13 17 1
10 12 3
21 1 1
12 16 3
7 11 1
11 13 1
22 2 2
16 19 3
12 15 3
11 13 1
13 15 1
0 3 2
8 12 3
12 16 3
10 12 1
22 1 2
13 17 1
16 19 3
21 1 2
3 6 1
21 23 1
16 20 1
20 0 2
3 6 1
23 1 1
0 4 1
5 7 1
17 18 2
14 16 3
14 17 3
15 19 1
15 17 3
5 6 2
9 11 1
12 16 3
14 18 3
8 11 1
5 7 2
9 10 3
11 15 2
9 12 2
13 15 3
6 10 3
12 15 1
19 0 2
15 16 2
11 15 2
0 1 1
15 18 1
16 20 2
8 13 3
12 15 1
10 12 3
8 12 2
12 16 2
12 15 3
9 11 3
8 10 2
2 5 3
15 18 1
14 16 1
9 11 3
3 7 3
9 12 2
4 8 1
22 2 1
20 22 1
20 23 1
0 3 1
9 13 1
13 14 2
16 18 3
15 18 3
19 21 2
0 5 1
15 19 3
20 0 3
6 10 3
4 7 1
22 1 1
3 6 3
19 22 3
9 10 2
22 2 2
18 21 2
0 2 1
20 22 2
16 19 2
16 20 3
23 1 3
2 6 3
3 6 3
10 14 3
0 3 2
16 20 3
16 21 3
21 1 3
16 19 3
7 9 3
0 2 1
4 8 2
22 0 3
8 11 1
7 9 1
2 4 3
21 0 2
11 13 1
23 2 1
22 1 2
6 8 3
20 21 3
15 16 2
3 6 3
1 5 3
13 15 1
23 2 1
5 7 3
10 11 2
7 10 2
20 22 1
6 8 1
8 11 1
8 12 3
2 5 3
4 7 1
3 7 1
12 14 1
9 13 3
6 10 1
0 5 3
4 8 2
15 16 1
2 6 1
5 8 2
6 9 2
15 20 3
22 1 3
19 21 3
14 18 1
8 11 3
9 13 3
4 7 3
0 3 1
20 22 3
17 18 3
22 1 2
14 19 2
20 0 2
16 20 3
17 20 1
20 23 2
7 10 3
10 12 2
17 21 1
9 11 1
19 21 1
8 11 2
6 10 1
13 16 2
14 16 1
21 0 1
14 17 2
4 7 2
14 17 2
4 7 3
17 20 3
6 7 1
11 13 1
7 9 3
4 8 1
12 16 2
3 5 3
4 8 1
20 1 2
18 18 2
17 19 1
22 3 2
3 5 1
17 20 1
12 16 2
23 2 2
23 2 1
2 3 1
16 19 1
1 3 2
2 5 3
7 9 3
0 3 3
11 15 3
1 3 3
2 4 2
18 19 1
20 22 1
9 12 3
8 11 1
13 16 2
9 12 3
17 20 3
17 19 1
11 14 3
15 16 3
18 20 1
2 6 2
20 23 1
23 4 3
4 7 1
9 12 2
18 20 1
13 17 3
9 10 3
13 16 3
14 17 1
7 10 1
22 1 1
6 9 2
16 18 2
0 4 2
5 7 2
14 18 2
23 1 2
6 8 3
8 11 2
14 16 1
4 8 1
21 0 1
20 23 1
4 6 2
7 8 3
2 5 1
5 9 3
5 6 3
6 10 1
1 4 3
14 16 2
19 21 2
14 16 3
14 17 2
12 15 1
18 21 3
8 12 1
12 14 1
3 7 2
14 17 3
10 13 3
20 0 1
22 2 2
21 23 2
18 22 1
13 16 1
7 9 1
8 9 3
15 17 1
8 12 1
5 8 1
5 7 2
7 9 2
11 12 1
16 21 3
6 9 3
2 5 3
7 9 1
1 5 2
12 14 3
17 17 2
10 14 3
10 12 1
9 13 2
7 10 1
15 19 1
2 4 1
17 18 2
15 18 1
2 5 1
6 10 3
13 15 2
7 11 2
4 6 3
20 22 2
14 17 2
12 15 2
8 11 1
4 5 2
6 11 3
3 6 2
8 12 3
7 10 1
