550 2
1 6 
15 17 1
7 10 1
1 3 1
3 6 2
19 22 1
8 11 2
5 6 2
22 2 1
5 6 2
23 1 2
16 19 2
2 5 1
10 14 2
4 8 1
19 21 1
18 19 1
3 7 2
21 0 2
10 13 2
8 11 1
2 6 1
11 14 2
19 21 1
18 19 1
6 10 2
15 21 1
11 15 1
12 13 2
11 15 1
17 21 1
13 16 1
0 1 1
3 6 1
15 17 2
13 15 1
3 5 2
19 20 2
11 14 1
11 13 2
12 15 1
4 8 1
12 15 1
13 16 1
12 15 1
11 14 2
17 19 1
21 1 1
17 20 1
23 2 2
6 7 1
23 2 2
21 23 2
6 8 1
9 10 2
0 4 1
14 16 2
7 11 2
11 14 1
15 20 1
12 14 1
7 10 1
7 11 1
23 0 1
1 3 1
8 11 2
5 6 2
0 3 2
19 22 2
19 22 2
14 16 2
5 8 2
22 23 1
15 18 1
23 2 1
16 18 2
14 18 1
11 14 1
8 12 2
6 9 1
13 17 2
2 5 1
10 12 2
13 17 1
1 3 2
7 9 1
5 8 2
10 14 1
20 0 2
5 6 2
0 3 1
12 15 1
3 6 2
16 18 1
16 19 2
1 4 2
9 13 2
6 10 2
21 1 1
6 9 2
3 6 1
14 17 2
21 1 2
6 9 2
6 8 1
17 20 2
10 14 1
2 5 2
13 17 1
6 10 2
11 13 1
20 1 1
7 10 1
21 23 1
11 15 2
9 11 1
10 12 2
4 7 1
17 20 1
13 17 2
9 14 1
8 11 2
11 14 1
10 13 1
12 15 1
6 8 1
22 1 2
14 16 2
18 22 2
0 3 1
18 19 2
6 10 1
14 19 2
16 18 2
0 1 2
10 13 1
12 15 1
13 16 1
16 19 2
18 21 2
4 6 1
23 2 2
13 16 2
7 11 1
23 2 2
14 17 2
8 10 1
12 15 1
8 12 2
10 13 2
4 5 1
6 9 2
9 13 1
23 2 2
18 20 1
8 10 2
17 19 2
21 1 1
22 2 2
1 3 2
21 0 1
17 19 2
10 15 1
17 20 2
18 20 2
11 12 2
6 10 2
2 5 2
9 12 2
2 3 2
20 23 2
1 4 2
1 2 1
7 11 1
0 2 2
23 2 2
4 6 2
23 2 1
21 22 2
22 1 2
4 8 1
8 12 1
0 2 1
20 23 1
10 13 1
11 14 2
17 20 2
0 3 1
16 18 2
4 8 1
15 18 2
5 7 1
0 3 2
12 15 1
13 16 1
2 5 1
10 13 2
5 9 1
14 19 1
12 15 1
3 5 2
1 3 2
6 8 1
6 9 2
22 0 2
10 12 2
1 3 1
0 2 2
21 1 1
22 2 2
21 23 2
21 23 1
12 14 1
8 11 2
4 8 1
23 2 2
17 19 1
